Year	Rainfall (in inches)
1878	21.26	
1879	11.35	
1880	20.34	
1881	13.13	
1882	10.40	
1883	12.11	
1884	38.18	
1885	9.21	
1886	22.31	
1887	14.05	
1888	13.87	
1889	19.28	
1890	34.84	
1891	13.36	
1892	11.85	
1893	26.28	
1894	6.73	
1895	16.11	
1896	8.51	
1897	16.88	
1898	7.06	
1899	5.59	
1900	7.91	
1901	16.29	
1902	10.60	
1903	19.32	
1904	8.72	
1905	19.52	
1906	18.65	
1907	19.30	
1908	11.72	
1909	19.18	
1910	12.63	
1911	16.18	
1912	11.60	
1913	13.42	
1914	23.65	
1915	17.05	
1916	19.92	
1917	15.26	
1918	13.86	
1919	8.58	
1920	12.52	
1921	13.65	
1922	19.66	
1923	9.59	
1924	6.67	
1925	7.94	
1926	17.56	
1927	17.76	
1928	9.77	
1929	12.66	
1930	11.52	
1931	12.53	
1932	16.95	
1933	11.88	
1934	14.55	
1935	21.66	
1936	12.07	
1937	22.41	
1938	23.43	
1939	13.07	
1940	19.21	
1941	32.76	
1942	11.18	
1943	18.17	
1944	19.22	
1945	11.59	
1946	11.65	
1947	12.66	
1948	7.22	
1949	7.99	
1950	10.60	
1951	8.21	
1952	26.21	
1953	9.46	
1954	11.99	
1955	11.94	
1956	16.00	
1957	9.54	
1958	21.13	
1959	5.58	
1960	8.18	
1961	4.85	
1962	18.79	
1963	8.38	
1964	7.93	
1965	13.69	
1966	20.44	
1967	22.00	
1968	16.58	
1969	27.47	
1970	7.77	
1971	12.32	
1972	7.17	
1973	21.26	
1974	14.92	
1975	14.35	
1976	7.22	
1977	12.31	
1978	33.44	
1979	19.67	
1980	26.98	
1981	8.98	
1982	10.71	
1983	31.25	
1984	10.43	
1985	12.82	
1986	17.86	
1987	7.66	
1988	12.48	
1989	8.08	
1990	7.35	
1991	11.99	
1992	21.00	
1993	27.36	
1994	8.14	
1995	24.35	
1996	12.46	
1997	12.40	
1998	31.01	
1999	9.09	
2000	11.57	
2001	17.94	
2002	4.42	
2003	16.49	
2004	9.25	
2005	37.25	
2006	13.19	
