Rank	Franchise	Description	Minimum Startup	Maximum Startup
1	Subway	Submarine sandwiches & salads	85.2	260.35
2	Jan-Pro Franchising Int'l. Inc.	Commercial cleaning	3.15	50.41
3	7-Eleven Inc.	Convenience store	30.8	1,500
4	Vanguard Cleaning Systems	Commercial cleaning	9.85	39.4
5	Liberty Tax Service	Individual & online tax prep	56.8	69.9
6	Chester's	Quick-service chicken restaurant	4.63	344.5
7	Jazzercise Inc.	Dance fitness classes, conventions, apparel & accessories	2.98	76.5
8	Jimmy John's Gourmet Sandwich Shops	Gourmet sandwiches	305.5	487.5
9	Dunkin' Donuts	Coffee, doughnuts, baked goods	310.25	1,770
10	Anago Cleaning Systems	Commercial cleaning	8.54	65.41
11	Cellairis Franchise Inc.	Cell-phone & wireless-device accessories	36.81	182.48
12	Cruise Planners-American Express Travel	Cruise & tour travel agency	1.6	19.49
13	Great Clips	Hair salon	108.35	205.8
14	H & R Block	Tax preparation & electronic filing	31.51	138.7
15	Anytime Fitness	Fitness center	56.3	353.9
16	Sport Clips	Men's sports-themed hair salon	177.8	277
17	Menchie's	Frozen yogurt	300	320
18	Mac Tools	Automotive tools & equipment	87.74	206.23
18	Papa John's Int'l. Inc.	Pizza	175	250
20	Orange Leaf Frozen Yogurt	Frozen yogurt	274.5	408.5
21	Firehouse Subs	Submarine sandwiches	178.38	625.8
22	Bricks 4 Kidz	Lego engineering classes, camps & birthday parties	33.8	51.05
22	Kumon Math & Reading Centers	Supplemental education	69.94	147.05
24	Massage Envy	Therapeutic massage & facial services	351.99	568.62
25	Planet Fitness	Fitness club	672.6	1,660
26	System4	Commercial cleaning	6.16	37.75
27	Kona Ice	Shaved-ice truck	103.7	119.1
28	Choice Hotels Int'l.	Hotels	89.8	14,640
29	Motel 6	Economy lodging	2,090	2,910
30	Tutor Doctor	Tutoring services	67.5	170.7
31	Merry Maids	Residential cleaning	55.35	78.45
32	Wingstop Restaurants Inc.	Chicken wings	242.79	569.53
33	HomeVestors of America Inc.	Home-buying, repair & selling system	41.3	376.25
33	Jersey Mike's Subs	Submarine sandwiches	215.84	394.06
35	DKI	Insurance restoration services	7.15	117.54
36	Edible Arrangements Int'l. LLC	Floral-like designs from sculpted fresh fruit	152.8	276.94
37	Denny's Inc.	Full-service family restaurant	1,180	2,400
38	Red Mango Franchising Co.	Frozen yogurt & smoothies	77.25	452.1
39	HappyFeet Legends Int'l.	Soccer programs for children ages 2 to 18	18.3	23.2
40	Griswold Home Care	Nonmedical home-care services	84.73	107.7
41	Auntie Anne's Hand-Rolled Soft Pretzels	Hand-rolled soft pretzels	201.38	374.6
41	Complete Nutrition	Weight-loss & nutrition products	188.45	412.95
41	Supercuts	Hair salon	103.55	196.5
44	AdvantaClean	Environmental services	84.5	159.2
45	HealthSource Chiropractic and Progressive Rehab	Chiropractic, rehab, nutrition & weight-loss services	52.75	249.1
46	CruiseOne	Cruise & travel agency	4.63	26.27
46	FirstLight HomeCare	Nonmedical in-home care services	75.5	99.4
46	Mathnasium Learning Centers	Math learning center	82.25	136
49	Marco's Franchising LLC	Pizza, sub sandwiches, wings, cheese bread	199.55	390.22
49	Mint Condition Franchising Inc.	Janitorial & building-maintenance services	4.89	45.4
51	KFC Corp.	Chicken	1,310	2,470
52	Extreme Pita	Pita wrap sandwiches, pizzas, smoothies, salads	162	300
53	The Grounds Guys LLC	Landscape maintenance	64.72	189.22
53	Sears Home & Business Franchises Inc.	Carpet, upholstery, air-duct & dryer-vent cleaning; garage solutions	11.03	191.55
55	InterContinental Hotels Group	Hotels	5,140	93,860
